[GIN] 2018/10/04 - 23:00:02 | 200 |   43.528308ms |             ::1 | GET      /apidoc/
[GIN] 2018/10/04 - 23:00:02 | 200 |   21.290354ms |             ::1 | GET      /apidoc/vendor/polyfill.js
[GIN] 2018/10/04 - 23:00:02 | 200 |   23.454175ms |             ::1 | GET      /apidoc/vendor/bootstrap.min.css
[GIN] 2018/10/04 - 23:00:02 | 200 |    22.08997ms |             ::1 | GET      /apidoc/vendor/prettify.css
[GIN] 2018/10/04 - 23:00:02 | 200 |   28.038338ms |             ::1 | GET      /apidoc/css/style.css
[GIN] 2018/10/04 - 23:00:02 | 200 |   36.702725ms |             ::1 | GET      /apidoc/vendor/require.min.js
[GIN] 2018/10/04 - 23:00:02 | 200 |    72.93592ms |             ::1 | GET      /apidoc/img/favicon.ico
[GIN] 2018/10/04 - 23:00:02 | 200 |   74.081304ms |             ::1 | GET      /apidoc/main.js
[GIN] 2018/10/04 - 23:00:02 | 200 |     176.585µs |             ::1 | GET      /apidoc/api_project.js?v=1538704802691
[GIN] 2018/10/04 - 23:00:02 | 200 |     189.538µs |             ::1 | GET      /apidoc/api_data.js?v=1538704802691
[GIN] 2018/10/04 - 23:00:02 | 200 |    4.293203ms |             ::1 | GET      /apidoc/utils/send_sample_request.js?v=1538704802691
[GIN] 2018/10/04 - 23:00:02 | 200 |    8.440146ms |             ::1 | GET      /apidoc/locales/locale.js?v=1538704802691
[GIN] 2018/10/04 - 23:00:02 | 200 |    3.528959ms |             ::1 | GET      /apidoc/vendor/webfontloader.js?v=1538704802691
[GIN] 2018/10/04 - 23:00:02 | 200 |     8.75611ms |             ::1 | GET      /apidoc/vendor/lodash.custom.min.js?v=1538704802691
[GIN] 2018/10/04 - 23:00:02 | 200 |    3.876118ms |             ::1 | GET      /apidoc/vendor/semver.min.js?v=1538704802691
[GIN] 2018/10/04 - 23:00:02 | 200 |    6.826966ms |             ::1 | GET      /apidoc/vendor/list.min.js?v=1538704802691
[GIN] 2018/10/04 - 23:00:02 | 200 |   22.731706ms |             ::1 | GET      /apidoc/vendor/jquery.min.js?v=1538704802691
[GIN] 2018/10/04 - 23:00:02 | 200 |    6.741773ms |             ::1 | GET      /apidoc/vendor/prettify/prettify.js?v=1538704802691
[GIN] 2018/10/04 - 23:00:02 | 200 |    6.878278ms |             ::1 | GET      /apidoc/locales/ca.js?v=1538704802691
[GIN] 2018/10/04 - 23:00:02 | 200 |    9.141798ms |             ::1 | GET      /apidoc/vendor/path-to-regexp/index.js?v=1538704802691
[GIN] 2018/10/04 - 23:00:02 | 200 |    7.253497ms |             ::1 | GET      /apidoc/vendor/handlebars.min.js?v=1538704802691
[GIN] 2018/10/04 - 23:00:02 | 200 |     294.396µs |             ::1 | GET      /apidoc/locales/de.js?v=1538704802691
[GIN] 2018/10/04 - 23:00:02 | 200 |   28.866215ms |             ::1 | GET      /apidoc/locales/es.js?v=1538704802691
[GIN] 2018/10/04 - 23:00:02 | 200 |   27.916311ms |             ::1 | GET      /apidoc/locales/fr.js?v=1538704802691
[GIN] 2018/10/04 - 23:00:02 | 200 |   27.953206ms |             ::1 | GET      /apidoc/locales/it.js?v=1538704802691
[GIN] 2018/10/04 - 23:00:02 | 200 |    26.81791ms |             ::1 | GET      /apidoc/locales/pt_br.js?v=1538704802691
[GIN] 2018/10/04 - 23:00:02 | 200 |   27.397935ms |             ::1 | GET      /apidoc/locales/pl.js?v=1538704802691
[GIN] 2018/10/04 - 23:00:02 | 200 |   27.649253ms |             ::1 | GET      /apidoc/locales/nl.js?v=1538704802691
[GIN] 2018/10/04 - 23:00:02 | 200 |    1.009392ms |             ::1 | GET      /apidoc/locales/ro.js?v=1538704802691
[GIN] 2018/10/04 - 23:00:02 | 200 |     931.803µs |             ::1 | GET      /apidoc/locales/vi.js?v=1538704802691
[GIN] 2018/10/04 - 23:00:02 | 200 |     960.274µs |             ::1 | GET      /apidoc/locales/zh.js?v=1538704802691
[GIN] 2018/10/04 - 23:00:02 | 200 |     855.317µs |             ::1 | GET      /apidoc/locales/zh_cn.js?v=1538704802691
[GIN] 2018/10/04 - 23:00:02 | 200 |     929.369µs |             ::1 | GET      /apidoc/locales/ru.js?v=1538704802691
[GIN] 2018/10/04 - 23:00:02 | 200 |      935.48µs |             ::1 | GET      /apidoc/locales/tr.js?v=1538704802691
[GIN] 2018/10/04 - 23:00:02 | 200 |   12.641095ms |             ::1 | GET      /apidoc/utils/handlebars_helper.js?v=1538704802691
[GIN] 2018/10/04 - 23:00:02 | 200 |   12.837214ms |             ::1 | GET      /apidoc/vendor/bootstrap.min.js?v=1538704802691
[GIN] 2018/10/04 - 23:00:02 | 200 |     281.723µs |             ::1 | GET      /apidoc/vendor/diff_match_patch.min.js?v=1538704802691
[GIN] 2018/10/04 - 23:00:08 | 304 |     106.671µs |             ::1 | GET      /apidoc/
[GIN] 2018/10/04 - 23:00:08 | 200 |      81.777µs |             ::1 | GET      /apidoc/img/favicon.ico
[GIN] 2018/10/04 - 23:00:08 | 200 |     742.449µs |             ::1 | GET      /apidoc/vendor/jquery.min.js?v=1538704808735
[GIN] 2018/10/04 - 23:00:08 | 200 |       56.03µs |             ::1 | GET      /apidoc/locales/locale.js?v=1538704808735
[GIN] 2018/10/04 - 23:00:08 | 200 |     151.851µs |             ::1 | GET      /apidoc/vendor/lodash.custom.min.js?v=1538704808735
[GIN] 2018/10/04 - 23:00:08 | 200 |      97.114µs |             ::1 | GET      /apidoc/api_project.js?v=1538704808735
[GIN] 2018/10/04 - 23:00:08 | 200 |      95.661µs |             ::1 | GET      /apidoc/api_data.js?v=1538704808735
[GIN] 2018/10/04 - 23:00:08 | 200 |      97.895µs |             ::1 | GET      /apidoc/utils/send_sample_request.js?v=1538704808735
[GIN] 2018/10/04 - 23:00:08 | 200 |     155.959µs |             ::1 | GET      /apidoc/vendor/semver.min.js?v=1538704808735
[GIN] 2018/10/04 - 23:00:08 | 200 |     126.366µs |             ::1 | GET      /apidoc/vendor/webfontloader.js?v=1538704808735
[GIN] 2018/10/04 - 23:00:08 | 200 |     158.934µs |             ::1 | GET      /apidoc/vendor/path-to-regexp/index.js?v=1538704808735
[GIN] 2018/10/04 - 23:00:08 | 200 |     152.774µs |             ::1 | GET      /apidoc/vendor/list.min.js?v=1538704808735
[GIN] 2018/10/04 - 23:00:08 | 200 |      92.175µs |             ::1 | GET      /apidoc/vendor/prettify/prettify.js?v=1538704808735
[GIN] 2018/10/04 - 23:00:08 | 200 |      97.534µs |             ::1 | GET      /apidoc/locales/ca.js?v=1538704808735
[GIN] 2018/10/04 - 23:00:08 | 200 |      40.553µs |             ::1 | GET      /apidoc/locales/de.js?v=1538704808735
[GIN] 2018/10/04 - 23:00:08 | 200 |      71.108µs |             ::1 | GET      /apidoc/locales/es.js?v=1538704808735
[GIN] 2018/10/04 - 23:00:08 | 200 |     160.317µs |             ::1 | GET      /apidoc/locales/fr.js?v=1538704808735
[GIN] 2018/10/04 - 23:00:08 | 200 |       89.46µs |             ::1 | GET      /apidoc/locales/nl.js?v=1538704808735
[GIN] 2018/10/04 - 23:00:08 | 200 |       44.44µs |             ::1 | GET      /apidoc/locales/ro.js?v=1538704808735
[GIN] 2018/10/04 - 23:00:08 | 200 |      88.548µs |             ::1 | GET      /apidoc/locales/it.js?v=1538704808735
[GIN] 2018/10/04 - 23:00:08 | 200 |      54.838µs |             ::1 | GET      /apidoc/locales/pl.js?v=1538704808735
